provider,website,fund_name,region,country,location,organisation_type,provision,investment_term,loans_rate,min_size,max_size,focus,last_updated,status
UK Government,https://www.gov.uk/government/news/government-reviews-ground-breaking-social-value-act,Social Value Act,United Kingdom,"England, Scotland, Wales, Ireland",,,Legislation,,,,,"The Act requires commissioners to think about how they can improve social, economic and environmental benefits when procuring services.  ",01 December 2014,Open
New Economy,http://neweconomymanchester.com/stories/832-unit_cost_database,Unit Cost Database,United Kingdom,"England, Scotland, Wales, Ireland",,,Support,,,,,"To make it easier to set up social impact bonds, we said we would make unit cost data for public services publicly available. In March we published a unit cost database bringing together more than 600 service costs. In April we worked with Rewired State to challenge developers to use the unit cost database, to develop tools that would support local authority commissioners in commissioning early intervention services. ",01 December 2014,Open
Unltd,http://gsen.unltd.org.uk/,Global Social Entrepreneurship Network,United Kingdom,"England, Scotland, Wales, Ireland",,,Support,,,,, ,01 December 2014,Open
Impact Exchange,http://gle.iipcollaborative.org/,Global Learning Exchange,United Kingdom,"England, Scotland, Wales, Ireland",,,Support,,,,, ,01 December 2014,Open
Big Lottery,http://locality.org.uk/projects/power-change/,Power to Change Trust,United Kingdom,"England, Scotland, Wales, Ireland",,"For-profit, non-profit",Grant,,,,150000,"Big Lottery Fund launched the £150m grant programme Power to Change. The programme is run by an independent Trust and will provide financial and technical expertise to support community led enterprises to grow and, where appropriate, take on social investment. It will be open for applications in Autumn 2014.  ",01 December 2014,Open
UnLtd,https://unltd.org.uk/bvc/,Big Venture Challenge,United Kingdom,"England, Scotland, Wales, Ireland",,,Grant,,,,,"a co-investment programme for social ventures delivered by UnLtd, Clearly So, the Social Investment Business and the Shaftesbury Partnership. In the first year, £1.7m of co-investment from BVC unlocked £3.8m of external social investment from over 80 different investors.  ",01 December 2014,Open
UK Government,http://www.retailcharitybonds.co.uk/,Retail Charity Boinds,United Kingdom,"England, Scotland, Wales, Ireland",,,Platform,,,,,"an issuing platform to raise medium term Loans finance for UK charities through bonds issued to retail and wholesale investors and listed on London Stock Exchange. The platform opens up a new dimension of borrowing and an alternative to bank Loans for established charities with strong credit worth. It also gives charities the opportunity to significantly raise their profile and engage with a new audience of investors. Retail Charity Bonds is an initiative of Allia, a charitable community benefit society, and has been established in association with Canaccord Genuity Limited.  ",01 December 2014,Open
Microgenius,http://communityshares.org.uk/,Community Shares Unit,United Kingdom,"England, Scotland, Wales, Ireland",,,Platform,,,,, ,01 December 2014,Open
Social Stock Exchange,http://socialstockexchange.com/,,United Kingdom,"England, Scotland, Wales, Ireland",,,Platform,,,,, ,01 December 2014,Open
LGT Venture Philanthropy & Berenberg,http://www.impactventuresuk.com/Investment-Approach/InvestmentProcess.aspx,Impact Ventures UK,United Kingdom,"England, Scotland, Wales, Ireland",,,"Loans, Equity",,,500000,5000000,"The fund established by LGT Venture Philanthropy and Berenberg, with £10m cornerstone investment from Big Society Capital, invested £800,000 in K10, a social venture providing construction apprenticeships across London. This was followed by an investment in Buddy Enterprises Ltd, a social enterprise that was founded to provide a digital tool, Buddy App, to support therapy services in the fields of mental health and well-being.  ",01 December 2014,Open
Social Investment Business,http://www.sibgroup.org.uk/impactready/,Impact Readiness Fund,United Kingdom,"England, Scotland, Wales, Ireland",,"For-profit, non-profit",Grant,,,15000,150000,"Grants available to help ambitious social ventures manage their performance and increase their social impact to attract social investment and win contracts.

Social investors and commissioners are interested in the social impact ventures achieve, but demonstrating this impact can be difficult. Many worthy social ventures struggle to quantify their achievements without the right systems and expertise. 

Help ventures collect and analyse data in order to drive efficiencies and improvements in service delivery and impact.
Enable ventures to maximise and demonstrate social impact at the core of business planning
Develop the skills, capacity, and systems to understand and improve their performance.
Social ventures will be required to work with one of the fund’s approved support providers to develop a programme of impact readiness work and submit an application.  ",01 December 2014,Open
Social Investment Business,http://www.sibgroup.org.uk/liverpool-lif/,Liverpool City Region Impact Fund,United Kingdom,"England, Scotland, Wales, Ireland",Liverpool,"For-profit, non-profit",Loans,5,8%,50000,250000,"The £2m Liverpool City Region Impact Fund (LCRIF) offers simple finance to charities and social enterprises based in the Liverpool City Region, including Knowsley, Liverpool, Sefton, St Helens and Wirral, helping them to grow and scale up the impact they make in their communities.

The fund offers unsecured loans of between £50,000 - £250,000 to charities and social enterprise in the Liverpool City Region with repayment terms up to 5 years and at an interest rate of between 6-12%. The fund aims to support charities and social enterprises in the Liverpool City Region to:

Develop, grow and increase their community and economic impact.
Develop and expand trading activities so that they can become strong and sustainable and achieve financial sustainability for themselves.
Safeguard existing jobs, support the creation of new jobs, increase organisational turnover, enable capital purchase, support bidding for and winning new contracts and other sales activity. ",01 December 2014,Open
Social Investment Business,http://www.sibgroup.org.uk/bigpotential/,Big Potential,United Kingdom,"England, Scotland, Wales, Ireland",,Non-profit,Grant,,,20000,75000,"Big Potential, a BIG Lottery Fund grant fund, will deliver approximately £10m of grant funding over 3 years to eligible VCSE organisations with the aim of improving the sustainability, capacity and scale of VCSE organisations in order that they may deliver greater social impact. 

The programme aims to raise awareness of the social investment market and support VCSEs who want to prepare themselves for social investment.

Eligible VCSE organisations will be able to access specialist one to one support from the Big Potential programme partners before making an application for grants between £20,000 and £75,000 to undertake more in-depth investment readiness work with one of Big Potential’s approved providers.  ",01 December 2014,Open
Social Investment Business,http://www.sibgroup.org.uk/beinvestmentready/,Investment & Contract readiness Fund,United Kingdom,"England, Scotland, Wales, Ireland",,"For-profit, non-profit",Grant,,,50000,150000,"The fund is not currently accepting applications for grants or providers and further updates will be provided in the coming months.

The Office for Civil Society's £10m three year Investment and Contract Readiness Fund supported social ventures to build their capacity to be able to receive investment and bid for public service contracts.

The fund was dedicated to helping charities and social enterprises acquire the skills they needed to raise investment and compete for public service contracts. A recent report for the G8 identified it as a vital tool to grow the UK social sector, which already contributes more than £80 billion to the economy each year.

The Fund matched social sector organisations with one of over 30 approved providers to help them raise investment or compete for public service contracts. Social ventures need to find an approved provider to work with before applying to the Fund. ",01 December 2014,Open
Social Investment Business,http://www.sibgroup.org.uk/bvc/,Big Venture Challenge Fund,United Kingdom,"England, Scotland, Wales, Ireland",,"For-profit, non-profit","Grant, Support",,,,,"The Big Venture Challenge supports ambitious entrepreneurs with access to business support, powerful connections and match funding to help them raise investment and deliver social impact at scale. 

The Big Venture Challenge is an intensive 12 month programme that is designed to help you raise external investment (Loans or equity) of between £50,000 to £250,000. This means working with you to build a compelling growth story, finding investors, making strategic connections and supporting you as an entrepreneur during the journey.

The Big Venture Challenge will run themed and regional cohorts every year in order to build deeper, more relevant strategic support networks around each cohort. ",01 December 2014,Open
Social & Sustainable Capital,http://socialandsustainable.com/seeking-investment/third-sector-loan-fund/,Third Sector Loan Fund,United Kingdom,"England, Scotland, Wales, Ireland",,Non-profit,Loans,,,250000,1000000,"For SME organisations. Will be used to raise additional capital and will make finance available to organisations that do not qualify for traditional secured lending, such as community assets. To be eligible for investment, your organisation must demonstrate the following:

Be a registered charity or social enterprise
Be based and have operations in the UK
Have a clear social mission with significant, measurable, direct outcomes
Be led by a strong management with proven capability to deliver
Have a robust business plan and financial projections
A clear demonstration of how investment repayment will be made
Have good corporate governance ",01 December 2014,Open
Social & Sustainable Capital,http://socialandsustainable.com/community-investment-fund/,Community Investment Fund,United Kingdom,"England, Scotland, Wales, Ireland",,Non-profit,Loans,,,250000,1000000,"The Fund invests between £250,000 and £1m in community based, locally led organisations which are providing essential support and services to improve the well-being of local residents, developing the local economy and creating positive social change for all individuals in the community. The Fund aims to improve the quality of life of local individuals, particularly those who are vulnerable and disadvantaged, and to enhance community engagement and cohesion by empowering people to develop locally-determined solutions to challenges and opportunities. To be eligible for investment your organisation must demonstrate the following:

Be a community led social sector organisation with a neighbourhood focus (please note we do not provide start-up capital)
Based and have operations in England
A clear social mission with significant measurable, direct outcomes
Strong management with proven capability to deliver
Robust business plan and financial projections
A clear demonstration of how investment repayment will be made
Good corporate governance ",01 December 2014,Open
Big Society Capital,http://www.bigsocietycapital.com/blog/north-east-regional-fund,North-East Fund,United Kingdom,England,North East,,Grant,,,,, ,01 December 2014,Open
Big Society Capital,http://www.bigsocietycapital.com/for-investors/opportunities/social-growth-fund,Scottish Fund,United Kingdom,Scotland,,,Grant,,,,, ,01 December 2014,Open
Threadneedle,http://bigissueinvest.com/funds/threadneedle/,UK Social Bond Fund,United Kingdom,"England, Scotland, Wales, Ireland",,,Grant,,,,, ,01 December 2014,Open
Addidi,http://www.addidi.com/what-we-offer/addidi-enterprise/,Enterprise,United Kingdom,"England, Scotland, Wales, Ireland",,,"Grant, Loans, Equity, Support",,,,,Addidi Enterprise is a women only Club which connects enterprising women with small business. It has been designed to drive a step change in the space of female entrepreneurship. Organisations that are working towards becoming sustainable and who measure their outcomes clearly ,01 December 2014,Open
Clearly So,http://www.clearlyso.com/investors/CSA.html,Social Angels,United Kingdom,"England, Scotland, Wales, Ireland",,,"Loans, Equity",,,,,"Entrepreneurs with compelling and innovative solutions to social and environmental problems. Businesses should have a strong business proposition, a credible leadership team, be able to demonstrate positive social impact as well as a clear description of the social/environmental issue being addressed by their business, and provide evidence of their ability to generate positive financial returns and strong opportunities for growth. ",01 December 2014,Open
Finance South East,http://www.thefsegroup.com/social-impact-funding/sia,Social Impact Accelerator,United Kingdom,"England, Scotland, Wales, Ireland",,,Loans,,,200000,1000000,"The Social Impact Accelerator  (“SIA”) provides loan finance for regulated social enterprises, including trading arms of charities. We consider propositions primarily based on current and projected cashflows and growth potential, rather than historic trading, asset-cover or balance sheet positions.  ",01 December 2014,Open
Finance South East,http://www.thefsegroup.com/social-impact-funding/community-generation-fund,Community Generation Fund,United Kingdom,"England, Scotland, Wales, Ireland",,,Loans,,,,Not Specified,"The Community Generation Fund provides loan funding for communities seeking to develop renewable energy generation infrastructure. The Fund is designed to assist communities seeking to develop renewable energy generation infrastructure which will create renewable energy, social engagement and a long term income source to be recycled by the community into relevant social impact initiatives. In other words, the Fund is seeking to help communities create their own environmental, social and financial legacy. ",01 December 2014,Open
Finance South East,http://www.thefsegroup.com/finance-east/regional-growth-loan-scheme,East Regional Growth Loan Scheme,United Kingdom,England,East England,,Loans,2 - 5,5-9%,50000,200000,"The East Regional Growth Loan Scheme, supported by the Department for Business, Innovation and Skills, is available to established incorporated businesses based within the East of England (please see map) that have a minimum annual turnover of £100k, show strong growth potential and have a medium to long-term funding requirements to deliver that growth. MUST HAVE: a clear business strategy that credibly delivers significant growth, b) a proposition that addresses product markets which are likely to grow strongly in the medium term, c) a business plan demonstrating:i) a viable product or service, ii) a ready market, iii) a management team with relevant background, iv) competitive advantage, v) the right to exploit intellectual property rights where necessary ",01 December 2014,Open
New Anglia Local Enterprise Fund,http://www.thefsegroup.com/finance-east/new-anglia-growing-business-fund,New Anglia Growing Business Fund,United Kingdom,England,East Anglia,,Grant,,,5000,500000,"The Fund provides grants of up to 20% of the project cost, between £5,000 and £500,000, to businesses that have a shortfall in their investment plan. The Fund targets all SMEs across Norfolk and Suffolk. Must be able to create at least one job for every £10,000 provided by the Fund, with a minimum of one new role. ",01 December 2014,Open
Coast to Capital Local Enterprise Partnership,http://www.thefsegroup.com/coast-capital-expansion-loan-scheme,Coast to Capital Expansion Loan Scheme,United Kingdom,England,"Surrey, Sussex",,Loans,4,,50000,200000,established SME businesses requiring finance to implement expansion activities that will deliver substantial growth. This Loan Scheme can be used to match the South East Sustainability Loan Fund (SESLF) operated by FSE C.I.C. Businesses interested in this opportunity of matched funding should initially check the Fund’s Terms and Conditions. ,01 December 2014,Open
Coast to Capital Local Enterprise Partnership,http://www.thefsegroup.com/coast-capital-growth-fund,Coast to Capital Growth Equity Fund,United Kingdom,England,"Surrey, Sussex",,Equity,,,,125000,"The Coast to Capital Growth Equity Fund invests in high growth small and medium sized businesses and can provide up to £125,000 as an equity investment. The investment must be matched by at least an equal amount of private investment, which the FSE Group can work with the company to source. ",01 December 2014,Open
Enterprise M3 Local Enterprise Partnership,http://www.thefsegroup.com/enterprise-m3-expansion-loan-scheme,Enterprise M3 Expansion Loan Scheme,United Kingdom,England,"Hampshire, Surrey",,Loans,4,,50000,200000,"Operated by EM3 SME Finance Ltd, this loan scheme is available within parts of Surrey and Hampshire to established SME businesses requiring finance to implement expansion activities that will deliver substantial growth. ",01 December 2014,Open
Finance South East,http://www.thefsegroup.com/business-growth-funding/south-east-sustainability-loan-fund,South East Sustainability Loan Fund,United Kingdom,England,South East England excl. London,,Loans,,,25000,200000,"The South East Sustainability Loan Fund provides Loans funding on a matched basis to companies that are developing or selling a product or service that looks to reduce carbon emissions in the South East of England. Loans from this Fund must be matched against a publicly funded Loans fund (“Primary Loan Fund”). Current Primary Loan Funds are the TVB Commercialisation Loan Scheme, the TVB Expansion Loan Scheme (both operated by TVB Loan Management Ltd) and the Coast to Capital Expansion Loan Scheme (operated by CtoC SME Finance Ltd). ",01 December 2014,Open
Finance South East,http://www.thefsegroup.com/thames-valley-berkshire-funding-escalator/tvb-commercialisation-loan-scheme,TVB Commercialisation Loan Scheme,United Kingdom,England,Berkshire,,Loans,,,25000,50000,"The Thames Valley Berkshire Commercialisation Loan Scheme is available within Berkshire to start up/early stage SMEs that have generated some sales and require funding support to significantly enhance market positioning and deliver a step change in growth. The Loan Scheme is unable to provide loans in the following sectors, which include those covered by EU rules and regulations: Shipbuilding, Steel production, Coal production, Land and property development, dealing and investment, Provision of Loans and equity finance and Financial Services in general, Accountants and the legal services, Hotels, Nursing and residential care homes, Agriculture, Horticulture, Forestry and timber production, International motor transport. ",01 December 2014,Open
Finance South East,http://www.thefsegroup.com/thames-valley-berkshire-funding-escalator/tvb-expansion-loan-scheme,TVB Expansion Loan Scheme,United Kingdom,England,Berkshire,,Loans,,,50000,200000,"Must have existing sales and customers and thus have a proven business concept which has achieved some commercial traction; it is expected to have been trading for at least 12 months and generated sales of at least £100,000 per annum. Must have compelling commercial potential. Must require finance to invest in expansion and scaling up activities that will deliver substantial growth impact. The Loan Scheme is unable to provide loans in the following sectors, which include those covered by EU rules and regulations: shipbuilding, steel production, coal production, land and property development, dealing and investment, provision of Loans and equity finance and financial Services in general, accountants and the legal services, hotels, nursing and residential care homes, agriculture, horticulture, forestry and timber production, international motor transport. ",01 December 2014,Open
Enterprise M3 Local Enterprise Partnership,http://www.thefsegroup.com/business-growth-funding/em3growthfund,Enterprise M£ Growth Fund,United Kingdom,England,"Hampshire, Surrey",,Equity,,,75000,125000,"The Enterprise M3 Growth Fund invests in high growth small and medium sized businesses and can provide up to £125,000 as an equity investment. The investment must be matched by at least an equal amount of private investment, which the FSE Group can work with the company to source. ",01 December 2014,Open
Finance South East,http://www.thefsegroup.com/business-growth-funding/south-east-seed-fund,South East Seed Fund,United Kingdom,England,South East England excl. London,,Equity,,,100000,250000,"Operating as an active investor in its portfolio companies, the Seed Fund invests by way of an equity instrument into companies with strong Intellectual Property or market differentiation that can demonstrate high growth potential. Our fund managers look to lead funding rounds and are experienced in working with angel networks and individuals as well as institutional investors. ",01 December 2014,Open
Finance South East,http://www.thefsegroup.com/thames-valley-berkshire-funding-escalator/tvb-growth-fund,TVB Growth Fund,United Kingdom,England,Berkshire,,Equity,,,50000,150000,"The Thames Valley Berkshire Growth Fund invests in high growth small and medium sized businesses and can provide up to £150,000 as an equity investment. This investment must be matched by at least an equal amount of private investment, which the FSE Group can work with the company to source. Companies wishing to apply to this fund will work through an intensive investment preparation process with our partners VitalSix.  Business growth coaching and skills development with applicants’ leadership teams will be delivered in conjunction with Henley Business School. Certain sectoral restrictions apply ",01 December 2014,Open
Finance South East,http://www.thefsegroup.com/business-growth-funding/adimpetus-eis-fund,Adimpus EIS Fund,United Kingdom,England,,,Equity,,,,25000,The AdImpetus EIS Fund 2011 is a specialist national fund designed to provide investors with a spread of investments in small and early stage companies that qualify for the tax reliefs available through the Enterprise Investment Scheme. The Fund offered investors registered with The FSE Group to take a tax-efficient and portfolio approach to early-stage investment in unquoted UK companies with high growth potential. ,01 December 2014,Open
Finance South East,http://www.thefsegroup.com/business-growth-funding/bedford-business-eis-fund,Bedford Business EIS Fund,United Kingdom,England,Bedfordshire,,Equity,,,50000,100000,"The Bedford Business EIS Fund has been developed as a practical initiative for sustainable job creation in Bedford. Investments will be made in businesses based in the region that can demonstrate great potential for high growth. An Advisory Board of local business people has also been formed chaired by Justin Phillimore, Group Finance Director of Charles Wells Ltd and including Ian Carlisle, former MD of Autoglass, Dougie Hunter, Chief Executive of ARA, William Naylor, formerly Commercial Director of Gibbs & Dandy and Nick Kier, Partner at Lane and Holmes. ",01 December 2014,Closed
Finance South East,http://www.thefsegroup.com/business-growth-funding/fse-investor-network,FSE Angel Club,United Kingdom,England,,,"Equity, Platform",,,100000,500000,"Business Angels are private individuals of high-net-worth, who are actively seeking to make direct investments in smaller companies.  Many Business Angels invest more than just money, they invest time and effort in your business and often bring relevant expertise and contacts that can add significant additional value, over and above the value of the cash investment. All are looking to make a financial return, usually seeking a successful exit within 5 to 7 years. The FSE group runs the FSE Angel Club in London and Camberley, where companies with an attractive opportunity can pitch to our networks of registered angel investors. ",01 December 2014,Open
Finance South East,http://www.thefsegroup.com/business-growth-funding/incito-ventures,Incrito Ventures,United Kingdom,England,,,"Equity, Platform",,,100000,500000,"The FSE group runs Incito Ventures: a female focused investor network, which identifies and supports female entrepreneurs and early stage businesses where the founding or executive teams often include women. ",01 December 2014,Open
Go Beyond,http://www.go-beyond.biz/entrepreneurs/apply.html,Entrepreneur Fund,United Kingdom,England,,,Equity,,,100000,2000000,"Seeking financing of €100,000 – €2 million within 6 to 9 months and having already received prize money or funds from family, friends or government programs. Based in a country in which we are currently present: France, Switzerland, UK, Italy, Poland, neighbouring EU countries or US. From one of the following industries: environment, health, education, food, housing, services, medtech, biotech, technology or luxury. We do not invest in Pharma.With products, services or business models that adhere to the principles of Triple Bottom Line Business Sustainability: People, Planet, Profit. ",01 December 2014,Open
Investors Circle,http://www.investorscircle.net,Angel Investor Network,United Kingdom,US,,,"Equity, Platform",,,,350000,"Clear commitment to social and/or environmental mission. Energy & Environmental Solutions, Sustainable Consumer Products, Sustainable Agriculture, Community & Economic Development, Healthcare, Biotech & Wellness, Social Media and Software. Investors’ Circle ‘is a network of angel investors, venture capitalists, foundations and family offices that are using private capital to promote the transition to a sustainable economy’. Applicants should be past the concept stage and be interested in maximising social and environmental impact as well as financial return. They accept applications on a rolling basis and specifically encourage minority-group and female entrepreneurs to apply. ",01 December 2014,Open
ClearlySo,http://www.toniic.com/entrepreneurs/deal-criteria/,Toniic,"United Kingdom, Europe ex UK, US, Global",,,,Equity,,,30000,2000000,"Toniic, represented by ClearlySo in the UK, operates globally and will consider investments in ‘transformational entrepreneurs, enterprises and funds addressing the fundamental needs of people and planet’, with no requirements on country or region. Must be addressing social and /or environmental need. Healthcare, water sanitation, education, environment, housing and poverty ",01 December 2014,Open
Allia,http://allia.org.uk/what-we-do/retail-charity-bonds/,Allia Retail Charitable Bond,United Kingdom,"England, Scotland, Wales, Ireland",,,Loans,5 - 10,,100,,"The platform opens up a new dimension of borrowing and an alternative to bank Loans for established charities with strong credit worth. It also gives charities the opportunity to significantly raise their profile and engage with a new audience of investors. Need to be legally constituted with charitable status or as a non-profit organisation demonstrably for public benefit. Poverty, unemployment, work-limiting illness or disability, family breakdown and homelessness in developing or developed countries ",01 December 2014,Open
Allia,http://allia.org.uk/what-we-do/social-incubator-east/,Social Incubator East,United Kingdom,England,East England,,Support,,,,,"Social Incubator East is an intensive support programme for people with an ambition to set up or grow a business dedicated to making positive social impact. If you and your idea have what it takes you’ll then be invited to join the Social Incubator East programme offering up to 12 months of further training, business support, loan finance and free workspace. It all starts with a Social Venture Weekend – two days of world class training provided by Cambridge Judge Business School. The weekend will help you refine your idea and develop your business plan and pitch. You’ll also have the opportunity to share and test your ideas with other start-ups and learn from the experiences of successful entrepreneurs. ",01 December 2014,Open
