provider,name,website,investment_term,loans_rate,min_size,max_size,focus,status,country,location,organisation_type,provider_type,region
Business Wales,Finance Locator,http://business.wales.gov.uk/zones/business-finance/funding-search-tool,,,0,0,A funding database provided by the Welsh Government with over 1000 different funds,1,Wales,NULL,For-profit,Support,United Kingdom
NI finance guide,Funding Database,http://www.investni.com/support-for-business/funding-for-business.html,,,0,0,"Here you’ll find out about the financial support we can offer in Northern Ireland to help your business start, grow,develop new products, explore new markets and improve performance.",1,Ireland,Ireland,For-profit,Support,United Kingdom
Funding Central,Funding Database,http://www.fundingcentral.org.uk/default.aspx,,,0,0,"A portal with access to over 4,000 grants, contracts and loans.",1,England,NULL,For-profit,Support,United Kingdom
Big Sociey Capital,Directory of Intermediaries,http://www.bigsocietycapital.com/finding-the-right-investment/grant,,,0,0,"There are thousands of organisations providing grant funding, all with their own priorities and criteria. The organisations and websites listed here will help you find grant funders relevant to you.
Grants might be the most appropriate way of funding some or all of your activities. But you shouldn’t think of grants simply as ‘free’ money. It is important to understand the disadvantages as well as the advantages of grant funding.",0,England,NULL,For-profit,Support,United Kingdom
EU,Access to EU Finance,http://europa.eu/youreurope/business/funding-grants/access-to-finance/search/en/,,,0,0,This site will help you to apply for loans and venture capital supported by the European Union.,1,England,NULL,For-profit,Support,United Kingdom
UK Government,Social Investment & Foundations Open Data,http://data.gov.uk/dataset/social-investment-and-foundations,,,0,0,"A list detailing social investments made by a number of UK charitable foundations. This list includes data from the following three foundations: Panahpur, The LankellyChase Foundation, and The Barrow Cadbury Trust. This data represents a snapshot of the current market.",1,England,NULL,For-profit,Support,United Kingdom
Social Impact Investment Taskforce,G8 Research Group,http://www.socialimpactinvestment.org/index.php,,,0,0,Report and research by a G8 taskforce on social entrepreneurship.,1,England,East England,NULL,Support,United Kingdom
Acorn,CDFI,http://www.findingfinance.org.uk/cdfi/acorn/,,,100,500000,"Acorn provides business loans from £100 to £500,000 across parts of the East Riding, North Yorkshire and North East Lincolnshire. It finds ways to support the financially excluded with commercial funding. Acorn looks for a viable business project which will create employment and provide a sustained benefit to the economy.",1,England,East Riding,For-profit,Loans,United Kingdom
Adage Credit,CDFI,http://www.adagecredit.co.uk,,,100,1000,"Adage credit provides personal and business loans in South London and Birmingham. Personal loans of between £100 and £1,000 are available for unanticipated outgoings, emergencies, or household expenses.",0,England,South London,For-profit,Loans,United Kingdom
ART Business Loans,CDFI,http://www.artbusinessloans.co.uk,,,10000,150000,"ART Business Loans provides business and social enterprise loans in the West Midlands. Loans from £10,000 to £150,000 are available for existing and start up businesses in all sectors where banks have been unable fully to meet their needs. ART is a pioneering finance provider, supporting job creation and preservation.",1,England,West Midlands,For-profit,Loans,United Kingdom
BBV,CDFI,http://www.bbvonline.net/index.php/finance-for-business,,,3000,50000,"BBV offers business loans of between £500 and £50,000 across the North West region. It provides financial, technical and management assistance to help local people start, run and grow their businesses. Established in 1983, BBV creates wealth and employment in the North West.",0,England,North West,For-profit,Loans,United Kingdom
BCRS Business Loans,CDFI,http://www.bcrs.org.uk,,,10000,150000,"BCRS provides business loans from £10,000 to £100,000 across the West Midlands. It lends to most sectors and targets businesses unable to get loans from traditional sources. BCRS doesn’t use impersonal computerised credit scoring and applicants can talk to one of its team to develop a loan application. It works with businesses in the following areas: West Midlands, Birmingham, Solihull, Coventry, Dudley, Sandwell, Walsall,Wolverhampton, Herefordshire, Shropshire, Staffordshire, Warwickshire, Worcestershire",1,England,West Midlands,For-profit,Loans,United Kingdom
Big Society Capital,Social Investment,http://www.bigsocietycapital.com/apply-us,,,500000,15000000,"We only invest in social investment finance intermediaries (SIFIs). SIFIs that we invest in must be registered in the UK and provide investment and other support to social sector organisations that primarily benefit people and communities in the UK. We invest in SIFIs that have a:
i) strong management team and good corporate governance systems;
ii) robust business plan and financial model with realistic underlying assumptions; and
iii) clear social mission with well-developed systems for delivering it and monitoring social impact.

We are not able to consider investment proposals from:

i) frontline social sector organisations;
ii) shell investment vehicles or ownerless orphan investment structures/funds;
iii) SIFIs investing in or providing support to social sector organisations that deliver only environmental impact;
iv) SIFIs without a clear and well-articulated social mission;
v) SIFIs without a base in the UK or which provide support to social sector organisations that primarily benefit people and communities outside the UK.",0,England,NULL,Social Finance Investment Intermediaries (SIFI),Loans,United Kingdom
UK Government,Investment & Contract Readiness Fund,http://www.beinvestmentready.org.uk/,,,50000,150000,"The £10m Investment and Contract Readiness Fund enables social ventures to access new forms of investment and compete for public service contracts.
Grants between £50,000 and £150,000 will be available on a rolling basis to ambitious social ventures who will go on to raise at least £500,000 investment, or who want to bid for contracts over £1 million.",0,England,NULL,NULL,Grant,United Kingdom
UK Government,Social Outcomes Fund,https://www.gov.uk/government/publications/social-outcomes-fund-how-to-apply,,,0,0,"The Social Outcomes Fund (SOF) is a £20m fund managed by the Cabinet Office. It aims to address one of the main problems holding up the growth of Social Impact Bonds (SIBs): the difficulty of aggregating benefits and savings which accrue across multiple public sector spending ‘silos’ in central and local government.The SOF will provide a ‘top-up’ contribution to outcomes-based commissions (Payment by Results (PbR) or SIBs) that are designed to deal with complex and expensive social issues. This will catalyse innovative new projects in areas where no single commissioner can justify making all of the outcomes payments, but where the wider benefits mean that a SIB is value for money. Reporting and assessment of performance data is a condition of funding, and will also generate evidence on the effectiveness of the project to overcome these barriers in the future. It operates only in England, with funding available to:government departments
local councils
other commissioning bodies, like police forces or the clinical commissioning groups",0,England,NULL,NULL,Grant,United Kingdom
Big Society Capital,Social Investment Council,http://www.bigsocietycapital.com/ResearchCouncil,,,0,0,"The Social Investment Research Council is a coordinated initiative which draws together research commissioners from key organisations in the social investment market from the public, private and social sectors.
The aim of the Social Investment Research Council is to help advance the UK social investment market through consolidating research efforts to generate powerful and practical insights for the benefit of social sector organisations and investors. 

The Council was launched on 31st October 2013 with Big Lottery Fund, Big Society Capital, the Cabinet Office, Citi and the City of London as founding members.

The inaugural research programme focused on improving the understanding of social investment market products and the specific investors needed to finance them. Since launch, it has published three research papers, and is currently finalising a further project (details below). 

The Council is keen to engage broadly to help ensure it addresses the most relevant issues for the social investment market. Therefore, the Council issued its first Call for Research Ideas. The Council is grateful for the broad response it has received to its Call for Research Ideas. It has published a  response and is now working on what specific projects will be commissioned.",1,England,NULL,NULL,Support,United Kingdom
UK Treasury,Enterprise Investment Tax Relief,http://www.hmrc.gov.uk/eis/,,,0,0,The Enterprise Investment Scheme (EIS) is designed to help smaller higher-risk trading companies to raise finance by offering a range of tax reliefs to investors who purchase new shares in those companies.,1,England,NULL,NULL,Legislation,United Kingdom
UK Treasury,Seed EIS,https://www.gov.uk/guidance/seed-enterprise-investment-scheme-background,,,0,0,"The Seed Enterprise Investment Scheme (SEIS) is designed to help small, early-stage companies to raise equity finance by offering a range of tax reliefs to individual investors who purchase new shares in those companies. It complements the existing Enterprise Investment Scheme (EIS) which will continue to offer tax reliefs to investors in higher-risk small companies. SEIS is intended to recognise the particular difficulties which very early stage companies face in attracting investment, by offering tax relief at a higher rate than that offered by the existing EIS.SEIS applies for shares issued on or after 6 April 2012. The rules have been designed to mirror those of EIS as it is anticipated that companies may want to go on to use EIS after an initial investment under SEIS.",1,England,NULL,NULL,Legislation,United Kingdom
UK Treasury,Social Investment Tax Relief,https://www.gov.uk/government/publications/social-investment-tax-relief-investors,,,0,0,"Social Investment Tax Relief provides a range of income and capital gains tax reliefs which can be claimed by individual investors for investments they have made in social enterprises, with a view to helping people and communities.",1,England,NULL,Individuals,Legislation,United Kingdom
Design Council,Design Council,http://www.designcouncil.org.uk/,,,0,0,In April 2014 produced a joint report into the user journey of ventures accessing social finance. We are now developing interventions based on these insights in collaboration with partners throughout the sector. Social Enterprise UK is also producing an easily accessible guide to social investment support this summer.  See the report at http://www.designcouncil.org.uk/resources/report/social-finance-uk-designing-experience-ventures,1,England,NULL,NULL,Support,United Kingdom
Social Enterprise UK,Buy Social Directory,http://buysocialdirectory.org.uk/,,,0,0,"The Buy Social Directory connects private and public sector buyers with social enterprises offering products and services. Social enterprises are businesses that trade for social and environmental purposes. They're part of a fast-growing sector, so whatever your organisation procures, there's likely to be a social enterprise that supplies it.",1,England,NULL,NULL,Support,United Kingdom
UK Government,Social Value Act,https://www.gov.uk/government/news/government-reviews-ground-breaking-social-value-act,,,0,0,"The Social Value Act improves the way taxpayers’ money is spent on public services. We are looking at experience of the Act to date and considering the benefits of extending it. The Act requires commissioners to think about how they can improve social, economic and environmental benefits when procuring services.",1,England,NULL,NULL,Legislation,United Kingdom
New Economy,Unit Cost Database,http://neweconomymanchester.com/stories/832-unit_cost_database,,,0,0,"To make it easier to set up social impact bonds, we said we would make unit cost data for public services publicly available. In March we published a unit cost database bringing together more than 600 service costs. In April we worked with Rewired State to challenge developers to use the unit cost database, to develop tools that would support local authority commissioners in commissioning early intervention services.",0,England,Manchester,NULL,Support,United Kingdom
Global Social Entrepreneurship Network,Peer to Peer Support,http://www.gsen.global,,,0,0,"The Global Social Entrepreneurship Network (GSEN) is a new platform, supported by the Cabinet Office, working with social entrepreneurs around the world. It utilises the learning, models and expertise from the UK and from all other country members who join. It will be a peer learning service for support agencies, with the potential to open out to social entrepreneurs themselves as a virtual social incubator at a future point.
Agencies supporting early stage social entrepreneurs are springing up across the world. We can all benefit from learning and sharing as well as technology transfer and this will be vital to achieve the social transformation we all want in our countries.

The secretariat coordinating the approach will be UK based and hosted initially by UnLtd, and expand out to contributions from members on a sharing economy model.",1,England,NULL,NULL,Support,United Kingdom
Global Learning Exchange,Social Impact Investing,http://gle.iipcollaborative.org/,,,0,0,"An impact investing network for the exchnage of ideas, resources and best practises.",0,England,NULL,NULL,Support,United Kingdom
Power to Change Trust,Community Fund,http://www.thepowertochange.org.uk/our-funding-programmes/,,,50000,500000,"We offer grant funding from £50,000 to £500,000. New applications should open in February 2016.
Funding is available for community businesses in England. In assessing applications we consider aspects including community control and the social, economic and environmental outcomes.

Through our funding programmes we aim to help existing community businesses thrive and encourage more people to set up businesses that provide solutions to challenges faced in local communities.",0,England,NULL,For-profit,Grant,United Kingdom
Allia Impact Finance Limited,Retail Charity Bonds,http://www.retailcharitybonds.co.uk/,,,0,0,"An issuing platform to raise medium term Loans finance for UK charities through bonds issued to retail and wholesale investors and listed on London Stock Exchange. The platform opens up a new dimension of borrowing and an alternative to bank Loans for established charities with strong credit worth. It also gives charities the opportunity to significantly raise their profile and engage with a new audience of investors. Retail Charity Bonds is an initiative of Allia, a charitable community benefit society, and has been established in association with Canaccord Genuity Limited.",1,England,NULL,NULL,Platform,United Kingdom
Co-operatives UK,Community Shares Unit,http://communityshares.org.uk/,,,0,0,"The Community Shares Unit is supported by the Department for Communities and Local Government (DCLG) and Department for Energy and Climate Change (DECC) until March 2016 and is delivered in partnership by Co-operatives UK and Locality. Modelled on the highly successful Asset Transfer Unit within Locality, the new unit works with partners to develop standards of good practice, encourage policy reforms and raise awareness to support the growth of community shares.
It acts a central reference point for market intelligence, providing the latest information on community share activities nationwide, as well as producing regularly-updated guidance materials.

The unit also operates as a dynamic hub for support, building relationships with networks and organisations to signpost communities, investors and other interested parties to the most appropriate forms of advice and assistance to develop new share offers and support existing ones.

Finally, it acts as a strong platform for profiling the community share model, raising awareness of the value of the approach to new entrants and facilitating peer support and networking to those already involved in community shares.",1,England,NULL,NULL,Support,United Kingdom
Ethex,Crowdfunding Platform,https://www.ethex.org.uk/,,,0,0,"Positive Investing means putting your money directly into businesses whose mission and impacts you support, and that also offer a financial return.
On our site you can browse, get to know and compare a wide range of positive investments.

When you find what's right for you, it's simple and secure to invest directly in your chosen business using our site.",1,England,NULL,NULL,Platform,United Kingdom
Social Stock Exchange,Social & Environmental Impact Exchange,http://socialstockexchange.com/,,,0,0,"The Social Stock Exchange provides a central venue for investors to easily identify impact companies by offering them greater visibility, profile and access to capital for high impact debt and equity issues. Where appropriate member companies can also list their securities on the world’s first, dedicated impact market segment which would mean that their securities become eligible for investors to invest in via their SIPP and ISA.
By choosing the Social Stock Exchange, you can connect with likeminded businesses, advisers and investors to achieve an impact that can really make a difference. Our members cover business sectors that range from social, to environmental, to health to housing – all doing great things in a new way.

By choosing the Social Stock Exchange you will have access to a wide variety of information and regular updates on impact investing news and investment opportunities on the website, via your desktop, tablet or mobile. Our regular newsletter will ensure you are always up to date. You will also be able to learn about our busy and exciting events programme including our monthly Impact Investor Club events.",1,England,NULL,NULL,Platform,United Kingdom
LGT Venture Philanthropy & Berenberg,Impact Ventures UK,http://www.impactventuresuk.com/,,,500000,5000000,"Impact Ventures UK’s mission is to become a leading investor of innovative, high growth social enterprises. Through equity and smart growth capital investments, our ultimate goal is to realise the full potential of our investees. It is our hope that each business will contribute to closing critical social gaps in the country for generations to come.
Financial capital in the form of equity, debt or quasi equity featuring both debt and equity.
Intellectual capital through closer mentoring by our team of experienced professional, or through LGT Venture Philanthropy’s ICats Program
Social capital that gives organisations access to strategic partners and expertise.
The primary objective of the fund is to invest smart and patient growth capital into social enterprises that have a positive impact on disadvantaged communities in the UK. Our impact-first approach means we strive to provide, above all, lasting benefits to communities through our investees. We therefore emphasise that social enterprises understand from the start the importance of collecting and providing evidence of their social impact and how they are scaling their reach.

In addition to our investments, we are also committed to applying state-of-the-art management practices to realise our investee’s goals throughout the lifespan of our partnerships.",1,England,NULL,NULL,Loans,United Kingdom
Social Investment Business,Impact Readiness Fund,http://www.sibgroup.org.uk/impactready/,,,25000,100000,"Grants available to help ambitious social ventures manage their performance and increase their social impact to attract social investment and win contracts.
Social investors and commissioners are interested in the social impact ventures achieve, but demonstrating this impact can be difficult. Many worthy social ventures struggle to quantify their achievements without the right systems and expertise. 

Help ventures collect and analyse data in order to drive efficiencies and improvements in service delivery and impact.
Enable ventures to maximise and demonstrate social impact at the core of business planning
Develop the skills, capacity, and systems to understand and improve their performance.
Social ventures will be required to work with one of the fund’s approved support providers to develop a programme of impact readiness work and submit an application.",0,England,NULL,For-profit,Grant,United Kingdom
Social Investment Business,Liverpool City Region Impact Fund,http://www.sibgroup.org.uk/liverpool-city-region-impact-fund,5,8%,50000,250000,"The £2m Liverpool City Region Impact Fund (LCRIF) offers simple finance to charities and social enterprises based in the Liverpool City Region, including Knowsley, Liverpool, Sefton, St Helens and Wirral, helping them to grow and scale up the impact they make in their communities.
The fund offers unsecured loans of between £50,000 - £250,000 to charities and social enterprise in the Liverpool City Region with repayment terms up to 5 years and at an interest rate of between 6-12%. The fund aims to support charities and social enterprises in the Liverpool City Region to:

Develop, grow and increase their community and economic impact.
Develop and expand trading activities so that they can become strong and sustainable and achieve financial sustainability for themselves.
Safeguard existing jobs, support the creation of new jobs, increase organisational turnover, enable capital purchase, support bidding for and winning new contracts and other sales activity.",1,England,Liverpool,For-profit,Loans,United Kingdom
Social Investment Business,Big Potential Breakthrough,http://www.sibgroup.org.uk/bigpotential/,,,20000,75000,"Big Potential, a BIG Lottery Fund grant fund, will deliver approximately £10m of grant funding over 3 years to eligible VCSE organisations with the aim of improving the sustainability, capacity and scale of VCSE organisations in order that they may deliver greater social impact. 
The programme aims to raise awareness of the social investment market and support VCSEs who want to prepare themselves for social investment.

Eligible VCSE organisations will be able to access specialist one to one support from the Big Potential programme partners before making an application for grants between £20,000 and £75,000 to undertake more in-depth investment readiness work with one of Big Potential’s approved providers.",1,England,NULL,Non-profit,Grant,United Kingdom
Social Investment Business,Big Potential Advanced,http://www.sibgroup.org.uk/bigpotential/,,,50000,150000,"Big Potential, a BIG Lottery Fund grant fund, will deliver approximately £10m of grant funding over 3 years to eligible VCSE organisations with the aim of improving the sustainability, capacity and scale of VCSE organisations in order that they may deliver greater social impact. 
The programme aims to raise awareness of the social investment market and support VCSEs who want to prepare themselves for social investment.

The Advanced route of Big Potential will be available to VCSEs that are clear about how social investment could work for them and can describe a potential deal or interest from investors and need help to close that deal. The Advanced route is also available to organisations that need help securing a contract. Grants of between £50,000 and £150,000 are available.",1,England,NULL,NULL,Grant,United Kingdom
Social Investment Business,Investment & Contract readiness Fund,http://www.sibgroup.org.uk/beinvestmentready/,,,50000,150000,"The fund is not currently accepting applications for grants or providers and further updates will be provided in the coming months.
The Office for Civil Society's £10m three year Investment and Contract Readiness Fund supported social ventures to build their capacity to be able to receive investment and bid for public service contracts.

The fund was dedicated to helping charities and social enterprises acquire the skills they needed to raise investment and compete for public service contracts. A recent report for the G8 identified it as a vital tool to grow the UK social sector, which already contributes more than £80 billion to the economy each year.

The Fund matched social sector organisations with one of over 30 approved providers to help them raise investment or compete for public service contracts. Social ventures need to find an approved provider to work with before applying to the Fund.",0,England,NULL,For-profit,Grant,United Kingdom
Social Investment Business,Big Venture Challenge Fund,http://www.sibgroup.org.uk/bvc/,,,0,0,"The Big Venture Challenge supports ambitious entrepreneurs with access to business support, powerful connections and match funding to help them raise investment and deliver social impact at scale. 
The Big Venture Challenge is an intensive 12 month programme that is designed to help you raise external investment (Loans or equity) of between £50,000 to £250,000. This means working with you to build a compelling growth story, finding investors, making strategic connections and supporting you as an entrepreneur during the journey.

The Big Venture Challenge will run themed and regional cohorts every year in order to build deeper, more relevant strategic support networks around each cohort.",0,England,NULL,For-profit,Grant,United Kingdom
Social & Sustainable Capital,Third Sector Loan Fund,http://socialandsustainable.com/seeking-investment/third-sector-loan-fund/,,,250000,3000000,"The Fund invests between £250,000 and £3 million in charities and social enterprises across the UK.  The Fund can support organisations across all social sectors, focused on improving the economic and social well-being of individuals, particularly those who are vulnerable and disadvantaged. To be eligible for investment, your organisation must demonstrate the following:
Be a registered charity or social enterprise
Be based and have operations in the UK
Have a clear social mission with significant, measurable, direct outcomes
Be led by a strong management with proven capability to deliver
Have a robust business plan and financial projections
A clear demonstration of how investment repayment will be made
Have good corporate governance",1,England,NULL,Non-profit,Loans,United Kingdom
Social & Sustainable Capital,Community Investment Fund,http://socialandsustainable.com/community-investment-fund/,,,250000,1000000,"The Fund invests between £250,000 and £1m in community based, locally led organisations which are providing essential support and services to improve the well-being of local residents, developing the local economy and creating positive social change for all individuals in the community. The Fund aims to improve the quality of life of local individuals, particularly those who are vulnerable and disadvantaged, and to enhance community engagement and cohesion by empowering people to develop locally-determined solutions to challenges and opportunities. To be eligible for investment your organisation must demonstrate the following:
Be a community led social sector organisation with a neighbourhood focus (please note we do not provide start-up capital)
Based and have operations in England
A clear social mission with significant measurable, direct outcomes
Strong management with proven capability to deliver
Robust business plan and financial projections
A clear demonstration of how investment repayment will be made
Good corporate governance",1,England,NULL,Non-profit,Loans,United Kingdom
Northstar Ventures,North-East Social Investment Fund,http://www.northstarventures.co.uk/our-funds/social-investment-fund/,10,,100000,1000000,"The North East Social Investment Fund invests in Social Enterprises with individual investments ranging in size from £100k to £1m.The Fund is targeted at organisations which exist primarily to deliver social impact and which reinvest the majority of their surpluses to further their social mission; including: charities (limited by guarantee or CIO only), CICs (limited by guarantee or shares) and Registered Societies (previously known as ‘Industrial and Provident Societies’, for community benefit).
Organisations should be located, or have substantial operations in the North East of England. The Fund will also invest in organisations that are willing to relocate to the region.
Investments are flexible to suit the individual organisation’s needs. Such investments will generally be in the form of loans, but may also be quasi equity or social impact bonds. The taking of security over the organisation’s assets may be a requirement of an investment.
We are looking to invest in viable Social Enterprises who have:
A strong passion to improve their social impact in any of homelessness, poverty and debt, health and social care needs, mental health, offender rehabilitation, unemployment or the regeneration of deprived communities
A strong management team with the ability to grow the organisation
A track record or desire to contract with Public sector bodies
The ability to measure and monitor the impact of their performance",1,England,North East,For-profit,Loans,United Kingdom
Northstar Ventures,Venture Capital Funds,http://www.northstarventures.co.uk/our-funds/social-investment-fund/,,,25000,2000000,"Based in Newcastle and Darlington, Northstar Ventures is a venture capital firm with over £95m under management.Northstar Ventures was founded in 2004, since when we have been inspiring local entrepreneurs and social enterprises with financial backing, and working alongside management teams in new and growing organisations to help them develop and grow.
Our approach to investment is straightforward: we are looking for strong teams with great ideas.
If that’s you, and you could benefit from funding and our involvement, please contact one of our experienced investment managers. You don’t need to have an in-depth business plan in place before contacting us – we are always happy to have an initial conversation to guide you through the process.
We are currently investing from our two active venture capital funds:
- The Finance for Business North East Proof of Concept Fund
- The Finance for Business North East Accelerator Fund",0,England,North East,For-profit,Equity,United Kingdom
Social Investment Scotland,Scottish Funds,http://www.socialinvestmentscotland.com/looking-for-investment/,13,7%-9%,10000,1000000,"The Social Growth Fund provides flexible finance packages £10,000 to £1,000,000 to charities and social enterprises in Scotland. It includes:
a) Community Capital: Unsecured loans of between £25,000 and £100,000 over 6 years with interest payments of 6% for just the 1st 3 years,
b) All Purpose Loan: Terms up to 13 years for between £10,000 & £1million with rates between 7-9%
c) Social Growth Fund: Terms up to 13 years for between £100,000 & £1million with fixed rates
d) Bridging Loan: Used to cover timing issues, short term finance up to 2 years for between £10,000 & £250,000 with rates fixed at 7%.
e) SIS / Triodos Property Loan: Terms up to 13 years (maybe up to 25 with Triodos) for between £30,000 & £1million with rates between 7-9%",1,Scotland,Scotland,NULL,Loans,United Kingdom
Addidi,Enterprise,http://www.addidi.com/what-we-offer/addidi-enterprise/,,,0,0,Addidi Enterprise is a women only Club which connects enterprising women with small business. It has been designed to drive a step change in the space of female entrepreneurship. Organisations that are working towards becoming sustainable and who measure their outcomes clearly,1,England,NULL,NULL,Grant,United Kingdom
Clearly So,Accepting Expression of Interest,https://www.clearlyso.com/services/investors/,,,0,0,"If you are an investor (high net worth or institution), this could be for you. We give investors access to a range of impact investment opportunities, spanning many deal sizes, sectors and structures, as well as into businesses creating diverse social and environmental impacts.",1,England,NULL,NULL,Platform,United Kingdom
